supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
JL TILE,TIL-JLTI-SP36P00T,Essential Collection — Pure White — 12 x 24 (Polished),sync,uuid_belongs_to_other_sku,held,Run proposed linking to live LS SP36POOT (561771fe-a260-44ce-8e49-8dc85b5ef030); reconciler refused because the codes differ — Essential Pure White 12x24 8pc/b 16sf/b — same product; LS code uses letter O for zero. Nothing written either side. Confirm the link (write 'link' in Action) or say it is a different product.,,18,,,
JL TILE,TIL-JLTI-SP6P00T,Essential Collection — Pure White — 24 x 24 (Polished),sync,uuid_belongs_to_other_sku,held,Run proposed linking to live LS SPC6POOT (16b1cbd5-4f19-46b8-b560-8d15fb495188); reconciler refused because the codes differ — Essential Pure White 24x24 4pc/b 16sf/b — same product; LS code has an extra C and letter O for zero. Nothing written either side. Confirm the link (write 'link' in Action) or say it is a different product.,,19,,,
JL TILE,TIL-JLTI-0003,Elegant Collection — Panda White Matte — 24 x 48 (Matte),sync,uuid_belongs_to_other_sku,held,"Run proposed linking to live LS PandaWhiteMatte (fb32dc90-5abf-42c0-9fce-32a742332406); reconciler refused because the codes differ — Elegant Panda White Matte 24x48 2pc/b, live cost already 4.49; an older '(P)' duplicate d1ca6d4c Panda.White.Matte also exists. Nothing written either side. Confirm the link (write 'link' in Action) or say it is a different product.",,117,,,
JL TILE,TIL-JLTI-DM12340M,Elegant Collection — Dream White Matt — 24 x 48 (Polished),sync,uuid_belongs_to_other_sku,held,Run proposed linking to live LS DM12341M/PY126929M (19bda592-8613-4c6e-8e59-e910a223fe3b); reconciler refused because the codes differ — shares the sheet's alternate code PY126929M; sheet primary DM12340M vs LS DM12341M. Nothing written either side. Confirm the link (write 'link' in Action) or say it is a different product.,,78,,,
JL TILE,TIL-JLTI-BPCK1294,Elegant Collection — Simcoe Dandelion — 24 x 48 (Polished),sync,ls_payload_unavailable,held,"Discontinued, no price printed, not in Lightspeed — nothing to create. Not written to Airtable either.",,109,,,
JL TILE,TIL-JLTI-TE12608,Elegant Collection — Camellia Spring — 24 x 48 (Matte),sync,ls_payload_unavailable,held,"Discontinued, no price printed, not in Lightspeed — nothing to create. Not written to Airtable either.",,134,,,
JL TILE,TIL-JLTI-BPCK6062,Essential Collection — Bremen Fall — 24 x 24 (Polished),sync,category_unresolved,held,Airtable 'Tile / Stone' has no reconciler mapping to an LS leaf. New LS products filed under FLOORING / TILE (7bce055e) per Albert 2026-09-23; existing products keep their current type (mostly the root TILE 0a6f6e36).,cat-db1cd076f0a9,31,,,
JL TILE,TIL-JLTI-BPCK1294,Elegant Collection — Simcoe Dandelion — 24 x 48 (Polished),sync,category_unresolved,held,Airtable 'Tile / Stone' has no reconciler mapping to an LS leaf. New LS products filed under FLOORING / TILE (7bce055e) per Albert 2026-09-23; existing products keep their current type (mostly the root TILE 0a6f6e36).,,109,,,
JL TILE,TIL-JLTI-TE12608,Elegant Collection — Camellia Spring — 24 x 48 (Matte),sync,category_unresolved,held,Airtable 'Tile / Stone' has no reconciler mapping to an LS leaf. New LS products filed under FLOORING / TILE (7bce055e) per Albert 2026-09-23; existing products keep their current type (mostly the root TILE 0a6f6e36).,,134,,,
JL TILE,TIL-JLTI-BPCK6062,Essential Collection — Bremen Fall — 24 x 24 (Polished),extract,ambiguous_pricing,held,Price cell printed '2 $2.42'; took 2.42 (the $-prefixed figure) — the leading '2' looks like bleed from an adjacent cell. Held on both systems (carve-out). Check the PDF and answer in #### Cost column or here.,cat-db1cd076f0a9,31,2 | $2.42,2.42,
