supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used
JL Tile,,(entire file — 152 rows),extract,new_supplier,wrote_flagged,"Zero existing Airtable rows for JL Tile before this run. Every detail on every row is unreconciled against a live record — spec confidence is unearned even though cost basis (Your cut order price, confirmed 2026-09-14) and the SKU/handle/name prefix (JLTI/JLTITIL, confirmed 2026-09-14) are settled. Supplier ('JL Tile') and Brand ('JL Tile') remain proposed, not yet confirmed by Albert — confirm before the Airtable import to avoid minting an unreviewed select option.",,1,,
JL Tile,TIL-JLTI-BPCK6007,Essential Collection — Rodas Bianco — 24 x 24 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-36P00B,Essential Collection — Super Pure White (full body) — 12 x 24 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-60P00B,Essential Collection — Super Pure White (full body) — 24 x 24 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-BPCK36012,Essential Collection — Timber Snow — 12 x 24 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-BPCK6062,Bremen Fall (24 x 24),extract,ambiguous_pricing,wrote_flagged,"Price cell printed '2 $2.42' — took 2.42 (the $-prefixed figure); '2' preceding it looks like stray text bleeding in from an adjacent cell, not a second price. Verify against the source PDF.",,1,,
JL Tile,TIL-JLTI-0001,Lisbon Grey Matte (12 x 24),extract,sku_missing,wrote_flagged,"Sheet printed no real code (cell read 'coming soon'). Sequential SKU minted instead, Supplier SKU left blank per policy (never invent a code).",,1,,
JL Tile,TIL-JLTI-0002,Lisbon Silver Matte (12 x 24),extract,sku_missing,wrote_flagged,"Sheet printed no real code (cell read 'coming soon'). Sequential SKU minted instead, Supplier SKU left blank per policy (never invent a code).",,1,,
JL Tile,TIL-JLTI-SDX12813P,Elegant Collection — Country Black — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-SDX12611P,Elegant Collection — Forest Black — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-D5-L12705,Elegant Collection — Calcatta Gold 24*48 — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-DM12341,Dream White Polished (24 x 48),extract,ambiguous_naming,wrote_flagged,Sheet also prints 'DM12341Y' for this SKU (kept 'DM12341' as the primary code).,,1,,
JL Tile,TIL-JLTI-DM12340M,Dream White Matt (24 x 48),extract,ambiguous_naming,wrote_flagged,Sheet also prints 'PY126929M' for this SKU (kept 'DM12340M' as the primary code).,,1,,
JL Tile,TIL-JLTI-DM12342,Elegant Collection — Dream Grey — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-N612002,Ariosa Snow 10mm (24 x 48),extract,ambiguous_naming,wrote_flagged,Sheet also prints 'BPCK1272' for this SKU (kept 'N612002' as the primary code).,,1,,
