supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used
Home's Pro,LVP-HMPR-0002,Home's Pro Venice 6.5mm SPC,extract,ambiguous_naming,held,"12 live Lightspeed SKUs share this collection name at the colour level; sheet prices per collection. No Lightspeed ID assigned, no LS upload row produced.",,1,,
Home's Pro,LVP-HMPR-0003,Home's Pro Moscow 7mm SPC,extract,ambiguous_naming,held,"6 live Lightspeed SKUs share this collection name at the colour level. No Lightspeed ID assigned, no LS upload row produced.",,1,,
Home's Pro,LVP-HMPR-0005,Home's Pro Sydney 6mm SPC,extract,ambiguous_naming,held,"4 live Lightspeed SKUs share this collection name; their own live costs disagree with each other ($2.66/$2.76). No Lightspeed ID assigned, no LS upload row produced.",,1,,
Home's Pro,LVT-HMPR-0002,Home's Pro Seoul 5mm LVT,extract,ambiguous_naming,held,"Live Lightspeed 'Seoul' product under Home's Pro is install method Looselay; this sheet's Seoul is Glue Down. Specs conflict — not treated as the same product. No Lightspeed ID assigned, no LS upload row produced.",,1,,
Home's Pro,ACC-HMPR-0003,Home's Pro - Transition | T-Moulding | SPC,extract,unmapped_category,wrote_flagged,"Priced identically across both the SPC and laminate sections of the sheet (shared accessory, not per-collection). Category 'LVP' assigned as the majority case.",,1,,
Home's Pro,ACC-HMPR-0004,Home's Pro - Transition | Stair Nosing | SPC,extract,unmapped_category,wrote_flagged,Same as T-Moulding — priced identically across SPC and laminate sections. Category 'LVP' assigned as the majority case.,,1,,
Home's Pro,ACC-HMPR-0005,Home's Pro - Transition | Reducer | SPC,extract,unmapped_category,wrote_flagged,Same as T-Moulding — priced identically across SPC and laminate sections. Category 'LVP' assigned as the majority case.,,1,,
Home's Pro,LVP-HMPR-0002,Home's Pro Venice 6.5mm SPC,sync,ls_payload_unavailable,held,"this SKU is new to Lightspeed, and a create needs the skill-built row from <supplier>_ls_upload_<date>.csv — the product name and category cannot be derived from the Airtable columns alone. Pass --ls-upload.",,1,,
Home's Pro,LVP-HMPR-0003,Home's Pro Moscow 7mm SPC,sync,ls_payload_unavailable,held,"this SKU is new to Lightspeed, and a create needs the skill-built row from <supplier>_ls_upload_<date>.csv — the product name and category cannot be derived from the Airtable columns alone. Pass --ls-upload.",,1,,
Home's Pro,LVP-HMPR-0005,Home's Pro Sydney 6mm SPC,sync,ls_payload_unavailable,held,"this SKU is new to Lightspeed, and a create needs the skill-built row from <supplier>_ls_upload_<date>.csv — the product name and category cannot be derived from the Airtable columns alone. Pass --ls-upload.",,1,,
Home's Pro,LVT-HMPR-0002,Home's Pro Seoul 5mm LVT,sync,ls_payload_unavailable,held,"this SKU is new to Lightspeed, and a create needs the skill-built row from <supplier>_ls_upload_<date>.csv — the product name and category cannot be derived from the Airtable columns alone. Pass --ls-upload.",,1,,
Home's Pro,LVP-HMPR-0001,Home's Pro Milan 5.5mm SPC,sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-ba677099386a,1,,
Home's Pro,LVP-HMPR-0004,Home's Pro Vancouver 8mm SPC,sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-643dab14a91a,1,,
Home's Pro,LVT-HMPR-0001,Home's Pro Holland 3mm LVT,sync,category_unresolved,wrote_flagged,"Airtable category 'LVT' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-bc228db9ddd6,1,,
Home's Pro,ACC-HMPR-0003,Home's Pro - Transition | T-Moulding | SPC,sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-dc5a7107affd,1,,
Home's Pro,ACC-HMPR-0004,Home's Pro - Transition | Stair Nosing | SPC,sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-f2fe910c2cb1,1,,
Home's Pro,ACC-HMPR-0005,Home's Pro - Transition | Reducer | SPC,sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-9e1c5cf55194,1,,
