supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
WEISS,ACC-WEIS-0001,Weiss - Transition | T-Moulding | SPC,sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product 8988bcb1-644e-4aa1-bc53-25dde3bb71fc carried legacy sku 11221 at supply 15.0 / retail 35.0; corrected to ACC-WEIS-0001 at 15.00 / 25.00 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-6a771421a5f1,51,,,
WEISS,ACC-WEIS-0002,Weiss - Transition | Reducer | SPC,sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product 000a3057-6a62-43b6-884b-c5ef468fc3c9 carried legacy sku 11222 at supply 15.0 / retail 35.0; corrected to ACC-WEIS-0002 at 15.00 / 25.00 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-168058c57cbb,52,,,
WEISS,ACC-WEIS-0004,Weiss - Transition | T-Moulding | Laminate,sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product 08b4ba3e-0209-4f62-a335-e75e7df59d35 carried legacy sku WEI.LM.TM at supply 12.0 / retail 24.99; corrected to ACC-WEIS-0004 at 15.00 / 25.00 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-417884d1acef,54,,,
WEISS,ACC-WEIS-0005,Weiss - Transition | Reducer | Laminate,sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product 9fcf7d84-6e33-4efe-8d1c-77feca3ac145 carried legacy sku WEI.LM.RED at supply 12.0 / retail 24.99; corrected to ACC-WEIS-0005 at 15.00 / 25.00 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-bd5d0530835a,55,,,
WEISS,ENG-WEIS-0005,"Weiss 6.5"" Oak 1.2mm — Fortino (Character)",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product 7ab4f3f2-4a69-4709-b654-fef154b0bb80 carried legacy sku F-E1-04 at supply 2.99 / retail 4.39; corrected to ENG-WEIS-0005 at 3.09 / 4.09 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-d5327b0b8b71,5,,,
WEISS,ENG-WEIS-0006,"Weiss 6.5"" Oak 1.2mm — Raw (Character)",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product 4849c65b-3176-4acd-8555-58b8cbc58310 carried legacy sku F-E1-06 at supply 2.99 / retail 4.39; corrected to ENG-WEIS-0006 at 3.09 / 4.09 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-be0076e401b7,6,,,
WEISS,ENG-WEIS-0007,"Weiss 6.5"" Oak 1.2mm — Saffron (Character)",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product f30922b2-b285-4838-ba67-524ce8040bc2 carried legacy sku F-E1-09 at supply 2.99 / retail 4.39; corrected to ENG-WEIS-0007 at 3.09 / 4.09 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-1e71fbf9bf11,7,,,
WEISS,ENG-WEIS-0008,"Weiss 6.5"" Oak 1.2mm — Sandy Brown (Character)",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product fd35dd20-b9b4-42aa-aa9a-4e65a2af289f carried legacy sku F-E1-07 at supply 2.99 / retail 4.39; corrected to ENG-WEIS-0008 at 3.09 / 4.09 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-ce9e220a98d8,8,,,
WEISS,ENG-WEIS-0009,"Weiss 6.5"" Oak 1.2mm — Seashell (Character)",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product c99860d6-b3bc-4367-b05a-1bcc1c730d3e carried legacy sku F-E1-10 at supply 2.99 / retail 4.39; corrected to ENG-WEIS-0009 at 3.09 / 4.09 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-b4b8df5c171b,9,,,
WEISS,ENG-WEIS-0010,"Weiss 6.5"" Oak 1.2mm — Silver Gray (Character)",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Vizion ruling 'Use the SKU in Airtable', applied to the same legacy case): Lightspeed product b1dafece-959f-420d-b9da-9c2d519a864a carried legacy sku F-E1-08 at supply 2.49 / retail 3.89; corrected to ENG-WEIS-0010 at 3.09 / 4.09 (verified). Its Airtable half ran in round 2 (catalog-plan-weiss-r2.json).",cat-c40e3eb881c4,10,,,
