supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
FLOOR & DECOR,TIL-FLDC-0001,Floor & Decor Porcelain — Noor Statuario — 12 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-2a04465d34b0,1,,,
FLOOR & DECOR,TIL-FLDC-0002,Floor & Decor Porcelain — Noor Statuario — 12 x 24 (Matte),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-990de40b526e,2,,,
FLOOR & DECOR,TIL-FLDC-0003,Floor & Decor Porcelain — Noor Statuario — 24 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-655cb0ed2ffb,3,,,
FLOOR & DECOR,TIL-FLDC-0004,Floor & Decor Porcelain — Noor Statuario — 24 x 24 (Matte),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-1f6e43b3422e,4,,,
FLOOR & DECOR,TIL-FLDC-0005,Floor & Decor Porcelain — Noor Statuario — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-65ef9ea5f4bf,5,,,
FLOOR & DECOR,TIL-FLDC-0006,Floor & Decor Porcelain — Noor Statuario — 24 x 48 (Matte),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-815d8016470a,6,,,
FLOOR & DECOR,TIL-FLDC-0007,Floor & Decor Porcelain — Belinda Gold — 12 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-cc8d28db3734,7,,,
FLOOR & DECOR,TIL-FLDC-0008,Floor & Decor Porcelain — Belinda Gold — 24 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-9ea80a2f50ec,8,,,
FLOOR & DECOR,TIL-FLDC-0009,Floor & Decor Porcelain — Belinda Gold — 24 x 24 (Matte),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-2262bd4f7674,9,,,
FLOOR & DECOR,TIL-FLDC-0010,Floor & Decor Porcelain — Belinda Gold — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-2c9031289700,10,,,
FLOOR & DECOR,TIL-FLDC-0011,Floor & Decor Porcelain — Belinda Gold — 24 x 48 (Matte),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-99fc6dcabae2,11,,,
FLOOR & DECOR,TIL-FLDC-0012,Floor & Decor Porcelain — Leez Calcatta Natural — 12 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-8b86d303449d,12,,,
FLOOR & DECOR,TIL-FLDC-0013,Floor & Decor Porcelain — Leez Calcatta Natural — 24 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-a1818d40686e,13,,,
FLOOR & DECOR,TIL-FLDC-0014,Floor & Decor Porcelain — Leez Calcatta Natural — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-d1cf9ce7b0e7,14,,,
FLOOR & DECOR,TIL-FLDC-0015,Floor & Decor Porcelain — Belinda White — 12 x 24 (Polished),extract,spec_gap,wrote_flagged,"Box size 16 sf/b is Albert's figure (2026-09-24), not printed in the brochure. No thickness, pieces per box or product code printed either; SKU minted TIL-FLDC-####, Supplier SKU blank.",cat-1c9ca8224d1d,15,,,
