supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
TRIFOREST,LAM-TRIF-TF8306,"Toucan TF83 Waterproof Laminate — Canadian Goose (9.37"" x 12.3mm)",extract,ambiguous_naming,wrote_flagged,List prints the colour 'Canada Goose'; live name says 'Canadian Goose'. Name left as live.,,39,,,
TRIFOREST,LVP-TRIF-TFSPC601-F,"Toucan SPC6 Vinyl — Barcelona (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,84,,,
TRIFOREST,LVP-TRIF-TFSPC602-F,"Toucan SPC6 Vinyl — Rome (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,85,,,
TRIFOREST,LVP-TRIF-TFSPC603-F,"Toucan SPC6 Vinyl — London (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,86,,,
TRIFOREST,LVP-TRIF-TFSPC604-F,"Toucan SPC6 Vinyl — Paris (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,87,,,
TRIFOREST,LVP-TRIF-TFSPC605-F,"Toucan SPC6 Vinyl — Amsterdam (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,88,,,
TRIFOREST,LVP-TRIF-TFSPC606-F,"Toucan SPC6 Vinyl — Venice (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,89,,,
TRIFOREST,LVP-TRIF-TFSPC607-F,"Toucan SPC6 Vinyl — Lion (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,90,,,
TRIFOREST,LVP-TRIF-TFSPC608-F,"Toucan SPC6 Vinyl — Istanbul (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,91,,,
TRIFOREST,LVP-TRIF-TFSPC609-F,"Toucan SPC6 Vinyl — Madrid (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,92,,,
