supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
BALTIC HOMES,HD-005,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Elysian Oak",extract,ambiguous_pricing,held,"Image list (phone photo). The two readers disagree on Tier 2 (the cost column): model transcription 3.92, OCR 3.02; Tier 1 3.49 agrees. Nothing written either side; the live LS product keeps 3.49 / 4.99. Check the paper list or ask Baltic, then answer here.",cat-cdb0618e3b96,5,3.92 (model) | 3.02 (OCR),3.92,
BALTIC HOMES,EHDP-003,"Baltic Homes Engineered Oak 7.5"" (3mm top) — Wildwood Oak",sync,ls_supplier_missing,held,"Already in Lightspeed as 0f4e98b6 (NATURE-ENG Hardwood Wildwood Oak, created 2025-08-26) with NO supplier, so its cost cannot be written and the first run's create was refused as a duplicate SKU. Set supplier BALTIC HOMES on it in Lightspeed, then re-run /catalog-sync on PL-170. Nothing written either side.",cat-fd5cc60e5961,11,,,
BALTIC HOMES,HD-005,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Elysian Oak",extract,new_supplier,held,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-cdb0618e3b96,5,,,
BALTIC HOMES,EHDP-003,"Baltic Homes Engineered Oak 7.5"" (3mm top) — Wildwood Oak",extract,new_supplier,held,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-fd5cc60e5961,11,,,
BALTIC HOMES,HD-001,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Timeless Manor Oak",extract,new_supplier,wrote_flagged,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-82d459e09947,1,,,
BALTIC HOMES,HD-002,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Rustic Charm Oak",extract,new_supplier,wrote_flagged,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-65588e6d63d0,2,,,
BALTIC HOMES,HD-003,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Amber Grain Oak",extract,new_supplier,wrote_flagged,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-296dc9b4fac9,3,,,
BALTIC HOMES,HD-004,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Nordic Serenity Oak",extract,new_supplier,wrote_flagged,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-886a7b5d727b,4,,,
BALTIC HOMES,HD-006,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Harbor Breeze Oak",extract,new_supplier,wrote_flagged,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-84e6afa7dc62,6,,,
BALTIC HOMES,HD-007,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Nature's Essence Oak",extract,new_supplier,wrote_flagged,"Zero Airtable BALTIC HOMES records before this run; specs unreconciled against any live record. Source is a photographed list (image path, two readers). Cost = Tier 2 (Albert 09-24); retail = cost + $1.00; SKU = supplier code; brand blank. Install method, wear layer and species beyond 'Oak' are not on the sheet and left blank.",cat-f788cfc2726a,7,,,
